,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
19,body weight,colon by,Ophthalmology,participated in other clinical trials in the past,Interventional Radiology Department,psychosocial therapy,aortic valve stenosis|Already,outpatient clinic for surface ocular diseases.|patients,in addition to,Systemic anti-cancer therapy,at time of initial screening,≥ 48 mmol/mol,once weekly,,potential risk of reactivation evaluated,Patients or families,If a subject reports,The subject must be 18 years of age or older|The subject must be a patient with massive
20,placenta,lymphatic system diseases,T3,excess blasts-2 (,plasma viral load,convulsions.||All enrolled,OTC,outpatient clinic of Assiut university||,elderly,factor II,last month) psychiatric diagnosis,score of <9,> 2 weeks,,lack access,Written informed consent before trial treatment and prior to any trial specific procedures.|Male,Participants who cannot take orally,acceptance for participation in the study|Healthy
21,preschool,spinal malformation Fetus,regular antibiotic use,Informed consent|Established diagnosis,total MGD score,PROCEDURES||Significant coronary artery disease,intracranial artery,Pediatric Hematology Service|4 weeks,post term,tolerated,during the trial;|Donated blood,18.5 to 45.0 kg/m2,greater than 10mg daily of,,signed the,Capable of understanding the written informed consent document,pregnant patients.|Patients,Patient older than 18 years|Surgery criteria
22,Excluded,although short-acting sedatives,contraceptive methods|Men,maintenance dialysis||Providers,o Exclusion criteria,total pancreatectomy,magnetic devices)|Claustrophobia.|Atrial,Hospital workers working,months|Patients free,could determine artifacts,prior to beginning therapy,lower than the standard cut-off value,≤1 mg/d,,unable to complete,Written informed,If the parent,Willing and able to give informed consent for participation in the study|Sufficiently fluent English to understand and complete the tasks|Registered with a GP and consents to GP being informed of participation in the study||Participants need to meet a number of concurrent clinical criteria:||Current criteria
23,years.|Both,electrophysiologic disease,components of behavioral activation,signed an informed consent||,RECIST v1.1 criteria,intervention therapy,shrapnel inside body)|currently,"pediatric emergency room,|Age range",other than,non-gastrointestinal indication,within 2 months before initiating,present:||SARS-CoV-2 infection||A,One-time,,imminent risk of,Not able to eat ad libitum meal|Not able to perform the exercise bout|Daily smoking|For,TIA.|Pregnant or breastfeeding.|Recent MI,Provision of signed and dated informed consent form|Stated willingness to comply with all study and availability for the duration of the study|Males and females
24,stents,Syphilitic serum positive should,immunosuppressants,participated in any regular,SARS-CoV-2).|Participant,dietary IBS treatment,ultrasound)|Cardiac resynchronization therapy device,inclusion|Acute traumatic burst fracture,no use,lower extremity.|Prior history of surgery in the lower extremity.|Neurologic or,within 14 days after the conclusion of the study;|Failure to show,therapy).|At least 18 years,more than 1 month after receiving,,Eligibility,patient guardian refusal||_ Children,"Additionally, it should be noted that periodic abstinence (e.g., calendar, ovulation, symptothermal,","Willing and capable to give informed consent for the participation in the study after it has been thoroughly explained|Not more than little experience with psychedelic substances|Experience in Buddhist meditation: participants have a minimum of 1000 hours of lifetime formal meditation practice, e.g. Mahayana (Zen) Theravada (Vipassana) Buddhism or Mahamudra/Dzogchen as primary meditation background, familiarity with longer periods of meditation in a retreat setting.|Body mass index (BMI)"
25,years,coagulopathy type,Mitoxantron,breast cancer|Previous chemotherapy,calculated by Cockcroft Gault equation;|Alpha-fetoprotein,facial cosmetic treatments,implantable venous access port,University of Virginia,could not,located,at least 6 months after the last trial treatment.|Those who,≥ 18 years.|Understand oral,frequent replacement lenses||Maximum of 1 habitual wearer per,,Cohort A,"Patient unable to feed orally,|Patient under legal protection, guardianship or curatorship,|Patient with an",The persons selected,Patient's age will range from 40- 55 years.|Their
26,Young,schizophrenic disorder,AVB mechanism,cigarette smoking,Canadian Cardiovascular Society class IV angina symptoms|Left,anticancer treatment,aortic valve of,exception,rather than,Non-essential,within the previous 6 months.|Current,< 80%)|Hypersomnia|Periodic Limb Movement,greater than one year.||,,Documented,Unable to provide own informed consent,Not caring for a family caregiver to a person with dementia,The patient must be between 4 and 12 years old at the time of informed consent.|Patients diagnosed with food allergy to eggs and/or milk (clinical history compatible with
27,Criteria||adults,etc.)|Continued pain,NT2,cooperate with the baseline,bruton tyrosine kinase inhibitor,artificial disc replacement)|History,metal implantation,amiodarone)|diabetes,compromises the,retropharyngeal lymphatic drainage area (VII),within 14 days)a,scores of 9+,> 1 month,,unwillingness to,Written informed consent obtained from subject|Diagnosis of CF|Aged,Young adults,"Provision of signed and dated, written informed consent prior to any study specific procedures.|Healthy"
28,genders,adequate organ function:||ANC,NSAID drugs,commit the time requested,serum Na,complete tarsorrhaphy,stents,pediatric oncology department of,previous,inflammatory process & decrease oxygenation,within 12 months prior to Screening.|UPCR ≥1.0 (Class III/IV +/-V,measured 2mm,<2 years,,planning to start,Able to provide informed consent after reading,Is between 18 and 35 years,patient's refusal|lack of communication in French|inability to give free and informed consent|surgery under anesthesia
29,child age,disc herniation in lumbar,medium,Limited mobility,NPC.|ECOG performance status,hydrocephalus|Children,penile injection,University Hospital,although,cancer|Locally advanced,within 28 days for,18 years old and 80 years,higher than 100/min,,calipers.||（3,Able to consent and agree to participate in the study.|3,The patients,Written consent to participate in the study|For women
30,Chinese,high-density lipoprotein,immunosuppressive agents.|Primary central nervous system (CNS) disease,Signed informed consent;|Males,venous thromboembolism|History,mitral valve repair for flail,inferior vena cava filter,pediatric rheumatologist).||,Without,or>75,in the past 6-months,">= 100,000/mm^3|ELIGIBILITY CRITERIA",2 mg/kg,,planning for pregnancy,Inability to provide informed consent.|For participants,Participants provision of a signed and dated informed consent and/or assent document indicating that the participant has been informed of all pertinent aspects of the study before any assessment is performed.|Participants who is willing and able to comply with scheduled visits,Patients willing and have signed consent.|Nonpregnant
31,weeks|Female,consensus between PI(surgeon,potassium supplementation,meeting the inclusion criteria|any reason,months;|Adequate organ function,transcranial direct,cardiac resynchronization therapy device|Participants,"psychiatric diagnosis,|The",greather than,France)||Non-inclusion,within 10 days of screening|Two or more,0-2|Consent,>= 1 week prior,,intention of becoming,Patient enrolled in the FIL_FOLL12 trial (documented by the signature of the study informed consent);|Availability of biological samples:,Is pregnant/breastfeeding|Is,Refusal to participate.|Cervical radiculopathy pain recurrence after surgery.|Previous attempt of
32,above|Age,children|First dental,related hypnotics,Refuse to participate|Lack of health insurance (French social security)|Under,ICG dermal backflow|Age,highflow oxygen,implanted metal device|At high,neonatal intensive care,"with the exception of appendectomy,",flu-related,6 days prior to the study|Allergy,≤ 1|Adequate organ,≥ CTC AE,,planning to get,inability to cook in their homes|cognitive deficits impeding the ability to participate or provide informed consent|current treatment for cancer|liver,If child,Provision of signed and dated written informed consent by the patient or legally acceptable representative prior to any study-specific
33,age,membranous glomerulonephritis,ULN;|Urine protein concentration,difficulty with visits|Bariatric surgery,ventricular,computed tomography scan|Participant,cochlear-implant,"University Hospital ""Fondazione Policlinico Universitario Agostino Gemelli (FPG)",not taking,sustain,within 2 weeks before the study drug administration,<125 x 103/mm3).|Positive,2-dose,,unwillingness to use reliable contraception,Inability to follow the procedures of the study,pregnant participants will be,parental consent to participate in the study will be included in the study.||
34,childbearing||,systemic diseases,antimuscarinic agents,recruitment residing,syphilis antibody positive;|Any drug,TCF3-HLF,pacemaker,"University of Ottawa,",precludes,ST segment elevation,within 6 months prior to screening.|Participation,92% or higher,2-weeks,,unwillingness to comply with the protocol requirements,Lack of sufficient viable retinal cell,Unwilling patients,The patient is allergic to lidocaine and midazolam|The site to be biopsied has a high risk of bleeding such as
35,Assuit,primary lymphoma,blood product,difficulty in walking,Memory Complaint Scale,transient elastography||Patients,implantable electronic,Skåne University Hospital.||,Except,histopathology showed,at least 6 months prior,≥ 4 points.||,more than the equivalent dose to tablet prednisolone,,can to,capable of understanding and complying with the protocol and willing to sign a written informed consent,chemotherapy.|Recent surgery.|Uncontrolled,The patient is taking
36,years.|Age,supra-,raltegravir,unable to speak English,VRE stool cultures,Emergency EBUS cases|ASA score,location services enabled,Pediatric Anxiety Rating Scale,except those,American Diabetes Association (ADA),within 180 days before enrollment,Class III/IV,12 consecutive months of,,investigator.|Unable to,Able & willing to participate in the study,Women of childbearing potential not,Refusal of patients.||Patients with renal or liver dysfunction.|Patients
37,pathology|Age,dialysis|Critically ill,gaze,Breastfeeding,RECIST v1.1;|ECOG performance status,percutaneous coronary angioplasty,artificial insemination|Naturally obtained,University of Extremadura.|Students,Narcan training:||not,third,within the 6 weeks prior to baseline|Has,≤ 2|9f,Outside these periods,,Continuing to,Able to sign Informed Consent|Scheduled,participant.|Female participants must be,Signed Written Informed Consent|Male or female
38,WOCBP,RSV infection,hair growth,unable to adequately,Visual Analog Scale|Live in Eastern Cape,Electroconvulsive treatment,saphenous vein,consistently,Not including,neural,"within 1,5 D range",>14 units per,less than 1% failure rate,,substantial,genetic or chromosomal anomaly|Probable rapid extubation,Women of,Patient 18 years
39,1/10,HIV)|Patient,study-related procedures/medications.|Previously enrolled,bisexual,simplified Oral Hygiene Index,leukemic organ involvement.|Renal function,fallopian tubes,outopatient,unwilling to,≤2 prior induction regimens,"before, or the time interval",transaminase does not,conjunctiva,,permitted,genetic risk of allopurinol hypersensitivity syndrome,If the habitual residence,"Signed written Informed Consent Form,|Patients aged"
40,prophylactic use of,peptic esophagitis,anti-CD20 antibody,difficulty in agreeing,serum β-HCG,male sterilization,biopsy-proven,Emergency department access,Not giving,medium,within 3 days prior to study inclusion|History of,>/= 20,1-month,,Rescreening,Inability to lie still for the entire,suicidal|Currently pregnant,"Refusal to sign an informed written consent, Cases with Chronic leukemias,"
41,≥450ms,liver insufficiency,oral glucose-lowering,limit compliance with study,HCV viral load|Participants,Cognitive impairment|Contracture,sleep medication,pediatric brain tumor|Patient,angina;|Unstable,Codes,in the last 48 hours before the evaluations;|Have respiratory,than 50 percent,major,,interfering in,Written informed consent to participate|At least 18 years,Is clinically,refusal to sign the informed consent form
42,points)|Age,organs,intravenous (IV) contrast,enrolled in other courses on scientific writing 12 months prior,Stage IV)|American Society of Anesthesiologists ≥IV|Previous laparotomy|BMI,oral treatment,aortic valve repair/replacement (AVR),Rehabilitation,fertile people,transsubclavian,within 28 days prior to enrolment,> 3 × ULN；|Renal function,recurrent UTI per patient report,,qualify,The physical condition does not,children otherwise,"The informed consent was signed before the study, fully understood the content and process of the study and the potential adverse reactions.|Ability to complete the study in accordance with the protocol requirements.|Chinese healthy"
43,YA,acute respiratory syndrome,non-steroidal antiinflammatory,plexus irradiated,kidney|Human immunodeficiency virus,absorption of oral agents|Patients,musculoskeletal systemic diseases,University of Foggia,before,in therapy,larger than 1.5 cm||,^ 9 / L；|Absolute neutrophil count (,more than 70%,,Hypersensitive to any,Inability to travel to participate in the workshop.|Patients with a diet excluding animal proteins (vegetarians,The pregnant,"Refusal to participate,|Has a pacemaker or a neurostimulator,|Has an insulin pump,|Coagulation disorders,|Current thrombophlebitis,|Current pregnancy,|Burning sensation at the treatment area,|Current cancer,|Insensitivity to warm or to pain,|Current infection (tuberculosis, etc.), especially of the surgical site,|Current fever,|Bladder wound during cesarean,|Under guardianship or conservatorship, deprived freedom, or in the custody of correctional authorities,|Keloid scar from previous cesarean,|Previous tecar therapy,|Strong hypertension (systolic > 150 or diastolic > 100)"
44,infants,acute COVID-19 symptoms,creatine,participated in a research protocol,stopped,RAS mutation status,implantable venous infusion port,outpatient department,do,botulinum toxin|Patients,"within 28 days,|Radioimmunoconjugates",between 5.7∼6.4%,20-30 minutes,,likely to lead,Inability to complete follow up or comply with study procedures|Previous corneal graft,age of,"Provision of signed and dated informed consent form|Stated willingness to comply with all study procedures and availability for the duration of the study|Male, 18 years old or older|Histologically or pathologically confirmed"
45,active,adenocarcinoma of the,anti platelet therapy,Cohort Expansion Phase):,Cr)≤ 1.5× upper limit of normal (ULN),"VAS,|extra-muscular disease activity",antiviral therapy|Clinically significant,Active,indolent,cholinergic enhancers,at screening less than or equal to 6.5,≥ 1 500 cells,total daily dose either <50 μg or >375 μg.|Current,,interfering with their,Able to understand and provide informed consent.|Natural born,Female subjects,The subject's previous history of antitumor therapy meets one of the following conditions:||Previous recipients of
46,Confirmation,AIDS-defining condition,inhaled SANO,participated in upper extremity weight,oral glucose tolerance test,amputation,Bimaxillary protrusion,University of Kentucky,extended,with curative intent,in 3 months prior to randomization.|LDL ≥190 mg/dL.|Treatment,>95|Heart rate <92||,1 mg/kg/day,,need for,inability to consent and to follow the procedures of the study|emergency surgery,Being a COPD patient,The patient did not agree to participate in the study.|There are not enough medical records or medical examination books.|The patient moves out of the treatment unit (not for professional reasons).|The
47,ataract,processes,PICCline,conversion,express,intestinal stent implantation.|,immunosuppressant systemic therapy,interventional clinical research treatment,lack of treatment for a major psychiatric disorder,severity to limit full adherence to the study,breast.|History,> 221,higher than the upper limit of normal,,shortness,Informed consent by the supervision of the children|6~13 years old (including both the 6 and 13)|SE range:,Is unable or unwilling to provide informed consent,Patient's opposition to the study|Notion of an abnormal
48,patients:||Age,syphilis infections,conventional catheter,Inadequate hematological,GU symptoms/conditions,treatment regimens,implanted vagus nerve stimulator,University Hospital of Amiens||,with the exception of,Objective 1,during the study||,>= 40 mL/min per the Cockcroft-Gault formula,≥2 weeks.|Ability to swallow,,comorbidity|Known,"Inability to understand and/or respond to the study questionnaires that are in Swedish.|Inability to provide an informed consent for participation in the study,",Adults have,Refusal to participate in the study|History of neurologic deficits or neuropathy affecting the brachial plexus|Infection at the site of the block application|Coagulopathy|Pre-existing respiratory dysfunction|Allergy to local anesthetics|Uncooperated patients who cannot reliably answer verbal pain evaluation
49,procedures|Age,psychiatric disorders|Acute,systemic steroid medication,psychiatric disorders|Patients,urine protein/creatinine,preoperative spirometry)||,Implantable cardioverter defibrillator implantation,Confirmation,Not available,Pittsburgh scale,at least 3 months prior to enrollment,"19-35,|Fasting regularly",more than 30 kg/m|Waist circumference,,likely to have,profile;|Written consent from the legal guardian or the patient himself||,If an,Refusal to give informed consent|Contraindication to venepuncture
50,old.|Gestational,orthopedic disease,metal implants;|Patients,drug exposure.||Patients,definition: immunohistochemical (IHC),hair growth,urethral catheter,outpatient clinic,does not go,excluded.|Self-reported,extended to the cornea.||Exclusion Criteria,">18""||",daily ICS,,Candidates for,parents/guardians,Females of childbearing potential,The patient is between 18 and 85 years old|Providing CRPS diagnostic criteria by using the Budapest Clinical Diagnostic Criteria.|The patient has had
51,TMS|Pregnant,components thereof,naloxone hydrochloride,situations that limit participation compliance with study procedures,NCI-CTCAE version 5.0,alternative treatments,suture laceration,outpatient primary care visits,no relevant,mellitus.|New-onset,in the last five (05) years;|Participation,> 50mm|Moderate,≥ 6 months prior to transplantation||Donor Inclusion Criteria:||Age 18,,old|Sexually active,Patient refusal|Spine deformities|Coagulopathies|Infection,pregnant patients;|patients,Subject does not understand or is not able and willing to sign the study informed consent or be verbally assented.|Subject has had the seasonal influenza and/or the SARS-CoV-2 vaccine
52,rowers,controlled infection,over-the-counter drug abuse,volume expansion,RECIST 1.1 criteria,surgery criteria|Brain MRI with,implantable cardioverter defibrillator,Absolute Contraindications||Perforated,naive,interferes with the aim of the study,less than 1 month before the start of the,less than or equal to 2.5 × ULN,>500 mL,,low risk cancer,"Inability to consent to the study, severe mental illness",The participants must,The inclusion criteria
53,Outpatient,type-2 DM,organs,incarceration,radiation.|ECOG performance status,standard temozolomide,"seizures,|No migraine",Anticipated difficult,intended,Medically,within 4 weeks prior to the first dose of study,≤ 1,more than 5 years,,symptoms endorsed,Lack of consent of patient or legal guardian,pregnant and,The patient must be a member or beneficiary of a health insurance plan|Patient admitted to the ICU with at least one positive
54,ICSI.|Age,nasal absorption specimens per protocol,low-dose heparin,loss of balance,Visual Analog Scale|Does not live in Eastern Cape confirmed,emergency neurosurgical intervention,NTRK fusion,pediatric LUM-201 GHD study,exception,low-risk pregnancy|Lives,within 2 months after the end of cetuximab treatment,< 96,more than 8 cups,,able to read,inability to sign informed voluntary consent,Impossibility to perform the neuropsychological evaluation (communication problems such as hearing loss or aphasia,patient's work-related stress
55,Age,cultural communities,report||,genetic evidences,multiplex PCR,Endocrine therapy,implantable cardioverter,Outpatient,cannot understand,TIMI 0 flow,at any time in the,more than 442μmol/L,greater than seven,,able to feed orally,Written informed consent to participate in the study,A female,Provision of signed and dated informed consent form|Stated willingness to comply with all study procedures and availability for the duration of the study|Age ≥ 60 years
56,Axilla can accept sentinel lymph node biopsy,former users,anti-tumor traditional,cortico-basal syndrome,Diazepam,RIS,central acting medication,Pediatric Clinic/Day,absence,ventricular,after the assessment of a multidisciplinary team because,=QT/(RR0.33).||Correction of,"≥ 1,000",,will refuse,Inability to understand the aims of the study and/or protocol procedures|Hypersensitivity towards,Being willing to participate in this study.||,The child patient has to be ≥2 years old and < 8 years old
57,prolonged,"systemic disease,|pregnancy",SC NTZ,unable to undergo anthropometric assessment;|Body mass index,partial thromboplastin time (APTT)≤1.5 x ULN .|Left ventricular ejection fraction,dialysis session,left ventricular (LV),neonatal intensive care unit,with the exception of:||Intranasal,shoulder surgery.|Patients,at the time of enrollment|Receiving another investigational agent,<90 or >140 mmHg,prolonged,,unreasonable,Willingness to provide a written ICF before entering the study;|2.,"Additionally, patients of childbearing potential must continue",Refusal to be included|Allergy or unsuitability to any composition of study drugs
58,≥65years,neglectful of their skin care.|Those,Phenobarbital,needling,extension lag,caries treatment,epidural steroid,Emergency Department nurses,ability,acute stage of chemical and corrosive injury,within 14 days before administration of the first dose of IMP.|The,15 to 44.9 mL/min/1.73m²,≥10 mg/d,,diagnosed,"Able and willing to provide written informed consent and to comply with the study protocol.|Adult patients,",The male,The subjects voluntarily participated in the study with full informed consent and signed written informed consent form;|Aged ≥18 years and ≤75 years when the subject signed the informed consent;|Histologically confirmed
59,Singapore,kidney failure|Acute coronary syndrome,nortriptyline,changes in work environment,Modified Ross Heart Failure Classification,women|>9,IPMNs,pediatric cardiac,with the exception of any of the following:||Adequately treated,SARS|Nosocomially-acquired,in the previous 6 months.||(7,≥90g/L,more than 5% of basal,,anticipated to,"Completed consent form, baseline survey",old.|Ability to provide,Capable of giving written informed consent prior to any study related procedure
60,Healthy|Male|Age,breastfeeding;|Cognitive,HDT,needle entry sites,relapses;|Bone marrow relapsed,Initiation,indwelling catheter,in intensive care medicine,permitted,pupillary,at least 3 months before the enrolment,< 140/min,10 mg/d,,able to use,University students,A child,The patient has been diagnosed with
61,cryoglobulinemia|Age,Santiago Chile,Polyethylene,Living in the United States|Adults,antral follicle count,physiotherapy for neck pain,prosthetic heart valves;|Claustrophobia;|Pregnancy,University of Wisconsin Hospital,higher than,age||Acute,for at least 6 weeks prior to final screening,less than 18 years|Lower than 5th grade reading level,≥ 480 ms)|New,,electively,females)|Written informed consent to the participation in the study||,pregnant women:||Chinese,"Provision of signed and dated, written informed consent prior to any study specific procedures.|Must be willing and able to communicate and participate in the whole study.|Healthy male"
62,over|Weigh,nasal disease,components of the study interventions,Expected survival period,PD1 antibody therapy,orthodontic reasons||,BTC,pediatric surgical center.||,no,juxtafoveal,for at least two months to screening,25.0 to 45.0,at least PASI,,consecutively,provided informed consent or assent,ULN.|Child patient,Subject capable of giving informed consent and participating in the process of consent.||
63,toxic,hyper-hydration,express,unhealthy diet,treadmill contraindications)|Intact skin,Polymerase Chain Reaction [PCR],coronary artery disease|Patients,Neonatal intensive care Unit Assiut University Children's Hospital,iteria:||identify,index child,last year,> 10h per waking day,more than 30% of the,,planning on starting weight loss,Inability to properly follow protocol as determined by the Principal Investigator,The persons selected for the study,Refusal of participation
