,1,2
5,T5,Value 61 80	> 35 and < 50 kg/m2
6,R2,Has_value Arg1:T4 Arg2:T5
7,T6,Procedure 96 111	Gastric By-Pass
8,T7,Mood 82 91	Candidate
9,R3,Has_mood Arg1:T6 Arg2:T7
10,T8,Drug 128 165	GLP1 (glucagon-like peptide) analogue
11,T9,Drug 169 176	insulin
12,T10,Procedure 113 122	Treatment
13,*,OR T8 T9
14,T11,Scope 128 176	GLP1 (glucagon-like peptide) analogue or insulin
15,R4,Has_scope Arg1:T10 Arg2:T11
0,T1,Visit 29 97	Gynecological emergency Unit at Hospital de Clínicas de Porto Alegre
1,T2,Procedure 112 130	uterine evacuation
2,T3,Condition 149 158	gestation
3,T4,Multiplier 136 145	<12 weeks
4,R1,Has_multiplier Arg1:T3 Arg2:T4
5,R2,AND Arg1:T2 Arg2:T3
0,T1,Procedure 12 42	combined organ transplantation
1,T2,Qualifier 51 68	extra-renal organ
2,T3,Procedure 76 97	islet cell transplant
3,*,OR T3 T2
4,T4,Scope 51 97	extra-renal organ and/or islet cell transplant
5,R1,Has_scope Arg1:T1 Arg2:T4
6,T5,Procedure 126 147;166 181	non-renal solid organ transplantation
7,T6,Procedure 155 181	islet cell transplantation
8,*,OR T6 T5
9,T7,Temporal 117 125	previous
10,T8,Scope 126 181	non-renal solid organ and/or islet cell transplantation
11,R2,Has_temporal Arg1:T8 Arg2:T7
12,T9,Condition 187 205	Infection with HIV
13,T10,Non-query-able 211 298	Inability or unwillingness of a participant and/or guardian to provide informed consent
14,T11,Post-eligibility 211 298	Inability or unwillingness of a participant and/or guardian to provide informed consent
0,T1,Qualifier 20 28	elective
1,T2,Procedure 29 46	abdominal surgery
2,T3,Measurement 55 74	expected blood loss
3,T4,Value 78 86	= 500 ml
4,R1,Has_value Arg1:T3 Arg2:T4
5,R2,Has_qualifier Arg1:T2 Arg2:T1
6,R3,AND Arg1:T2 Arg2:T3
7,T5,Measurement 88 107	ASA Physical Status
8,T6,Value 108 116	II - III
9,R4,Has_value Arg1:T5 Arg2:T6
10,T7,Informed_consent 118 154	Signed written informed consent form
11,T8,Measurement 156 167	Body weight
12,T9,Value 168 176	= 140 kg
13,R5,Has_value Arg1:T8 Arg2:T9
14,T10,Condition 178 184	Sepsis
15,T11,Condition 186 191	Burns
16,T12,Condition 193 209	Renal impairment
17,T13,Measurement 211 221	AKIN stage
18,T14,Value 222 225	= 1
19,R6,Has_value Arg1:T13 Arg2:T14
20,R7,Subsumes Arg1:T12 Arg2:T13
21,T15,Qualifier 230 235	acute
22,T16,Qualifier 243 250	chronic
23,T17,Procedure 251 276	renal replacement therapy
24,*,OR T16 T15
25,T18,Scope 230 250	acute and/or chronic
26,R8,Has_scope Arg1:T17 Arg2:T18
27,*,OR T12 T17
28,T19,Condition 294 314	cerebral haemorrhage
29,T20,Condition 278 290;303 314	Intracranial haemorrhage
30,*,OR T19 T20
31,T21,Condition 316 330	Critically ill
32,T22,Visit 367 386	intensive care unit
33,T23,Mood 341 350	typically
34,T24,Procedure 351 359	admitted
35,R10,Has_mood Arg1:T24 Arg2:T23
36,R9,AND Arg1:T24 Arg2:T22
37,R11,AND Arg1:T21 Arg2:T24
38,T25,Condition 389 403	Hyperhydration
39,T26,Condition 405 421	Pulmonary oedema
40,T27,Condition 423 434	Dehydration
41,T28,Condition 436 449	Hyperkalaemia
42,T29,Condition 458 472	hypernatraemia
43,T30,Qualifier 451 457	Severe
44,R12,Has_qualifier Arg1:T29 Arg2:T30
45,T31,Condition 481 496	hyperchloraemia
46,T32,Qualifier 474 480	Severe
47,R13,Has_qualifier Arg1:T31 Arg2:T32
48,T33,Condition 507 532	impaired hepatic function
49,T34,Qualifier 498 506	Severely
50,R14,Has_qualifier Arg1:T33 Arg2:T34
51,T35,Condition 534 558	Congestive heart failure
52,T36,Condition 567 579	coagulopathy
53,T37,Qualifier 560 566	Severe
54,R15,Has_qualifier Arg1:T36 Arg2:T37
55,T38,Procedure 581 597	Organ transplant
56,T39,Condition 608 627	Metabolic alkalosis
57,T40,Competing_trial 629 731	Simultaneous participation in another interventional clinical trial (drugs or medical devices studies)
0,T1,Condition 0 13	Target lesion
1,T2,Qualifier 29 43	left main stem
2,R1,Has_qualifier Arg1:T1 Arg2:T2
3,T3,Condition 45 50	STEMI
4,T4,Condition 52 62	Restenosis
5,T5,Condition 64 81	Cardiogenic shock
6,T6,Condition 83 95	Malignancies
7,T7,Condition 105 124	comorbid conditions
8,T8,Qualifier 99 104	other
9,R2,Has_qualifier Arg1:T7 Arg2:T8
10,T9,Observation 130 145	life expectancy
11,T10,Value 146 165	less than 12 months
12,T11,Observation 188 210	protocol noncompliance
13,T12,Mood 174 177	may
14,R3,Has_mood Arg1:T11 Arg2:T12
15,R4,Has_value Arg1:T9 Arg2:T10
16,*,OR T9 T11
17,T13,Scope 130 210	life expectancy less than 12 months or that may result in protocol noncompliance
18,*,OR T6 T7
19,T14,Scope 83 124	Malignancies or other comorbid conditions
20,R5,Has_scope Arg1:T14 Arg2:T13
21,T15,Condition 218 225	allergy
22,T16,Drug 233 250	study medications
23,T17,Drug 252 260	probucol
24,T18,Drug 262 271	sirolimus
25,T19,Drug 273 284	zotarolimus
26,*,OR T17 T18 T19
27,T20,"Scope 252 284	probucol, sirolimus, zotarolimus"
28,R6,Subsumes Arg1:T16 Arg2:T20
29,R7,AND Arg1:T15 Arg2:T16
30,T21,Condition 287 296	Pregnancy
31,T22,Temporal 298 305	present
32,T23,Mood 307 316	suspected
33,T24,Mood 321 328	planned
34,*,OR T23 T24 T22
35,T25,"Scope 298 328	present, suspected, or planned"
36,R8,Has_scope Arg1:T21 Arg2:T25
0,T1,Measurement 9 12	ASA
1,T2,Value 13 21	III y IV
2,R1,Has_value Arg1:T1 Arg2:T2
3,T3,Condition 23 35	Chronic pain
4,T4,Condition 45 49;62 67	Drug abuse
5,T5,Condition 54 67	alcohol abuse
6,*,OR T4 T5
7,T6,Drug 84 90	opioid
8,T7,Drug 95 104	sedatives
9,*,OR T6 T7
10,T8,Multiplier 69 80	Chronic use
11,T9,Scope 84 104	opioid and sedatives
12,R2,Has_multiplier Arg1:T9 Arg2:T8
13,T10,Condition 106 130	Neuropsychiatric illness
14,T11,Drug 132 137	NSAID
15,T12,Qualifier 142 147	other
16,T13,Drug 148 158	analgesics
17,R3,Has_qualifier Arg1:T13 Arg2:T12
18,*,OR T13 T11
19,T14,Temporal 168 200	48 hours previous to the surgery
20,T15,Reference_point 189 200	the surgery
21,R4,Has_index Arg1:T14 Arg2:T15
22,T16,Scope 132 158	NSAID and other analgesics
23,R5,Has_temporal Arg1:T16 Arg2:T14
24,T17,Measurement 202 205	CMI
25,T18,Value 206 209	> 3
26,R6,Has_value Arg1:T17 Arg2:T18
0,T1,Condition 9 20	anaphylaxis
1,T2,Temporal 0 8	Previous
2,T3,Drug 48 63	Bexsero vaccine
3,R1,AND Arg1:T1 Arg2:T3
4,R2,Has_temporal Arg1:T1 Arg2:T2
5,T4,Temporal 65 73	Previous
6,T5,Drug 85 108	meningococcal B vaccine
7,T6,Drug 110 117	Bexsero
8,R3,Subsumes Arg1:T5 Arg2:T6
9,R4,Has_temporal Arg1:T5 Arg2:T4
10,T7,Condition 126 135	pregnancy
0,T1,Observation 17 37	expected to be alive
1,T2,Negation 13 16	not
2,T3,Value 42 62	longer than 3 months
3,R1,Has_value Arg1:T1 Arg2:T3
4,R2,Has_negation Arg1:T1 Arg2:T2
5,T4,Measurement 65 101	Mini-mental State Examination (MMSE)
6,T5,Value 113 117	= 23
7,R3,Has_value Arg1:T4 Arg2:T5
8,T6,Condition 131 139	dementia
9,T7,Condition 141 160	psychiatric illness
10,T8,Condition 168 202	diseases of central nervous system
11,T9,Drug 220 229	sedatives
12,T10,Temporal 205 212	current
13,T11,Drug 233 247	antidepressant
14,*,OR T11 T9
15,T12,Scope 220 247	sedatives or antidepressant
16,R4,Has_temporal Arg1:T12 Arg2:T10
17,T13,Condition 250 260	alcoholism
18,T14,Condition 265 280	drug dependence
19,*,OR T14 T13
20,T15,Non-query-able 283 405	patients previously included in this study (for patients who have second intra-abdominal surgery during the study period).
21,T16,Non-query-able 407 463	difficult to follow up or patients with poor compliance.
22,T17,Condition 465 490	uncontrolled hypertension
23,T18,Value 492 506	> 180/100 mmHg
24,R5,Has_value Arg1:T17 Arg2:T18
0,T1,Procedure 20 37	bariatric surgery
1,T2,Condition 0 16	Contraindication
2,R1,AND Arg1:T2 Arg2:T1
3,T3,Condition 39 48	Pregnancy
4,T4,Observation 50 86	Affiliation of health care assurance
5,T5,Condition 88 109	Psychiatric disorders
0,T1,Person 3 7	Male
1,T2,Person 12 18	female
2,T3,Value 44 53	≥18 years
3,T4,Person 57 60	age
4,R1,Has_value Arg1:T4 Arg2:T3
5,*,OR T2 T1
6,T5,Multiplier 86 93	primary
7,T6,Multiplier 97 107	subsequent
8,T7,Procedure 126 161	living donor kidney transplantation
9,T8,Procedure 108 122;139 161	deceased-donor kidney transplantation
10,*,OR T8 T7
11,*,OR T6 T5
12,T9,Scope 108 161	deceased-donor or living donor kidney transplantation
13,T10,Scope 86 107	primary or subsequent
14,R2,Has_scope Arg1:T9 Arg2:T10
15,T11,Non-query-able 167 232	Subject and/or guardian must be able to provide informed consent.
16,T12,Post-eligibility 167 232	Subject and/or guardian must be able to provide informed consent.
17,T13,Non-query-able 237 308	Subject and/or guardian must be able to comply with the study protocol.
18,T14,Post-eligibility 237 308	Subject and/or guardian must be able to comply with the study protocol.
0,T1,Post-eligibility 0 54	patients who do not wish to participate in the project
1,T2,Condition 71 88	ectopic pregnancy
2,T3,Condition 105 118	comorbidities
3,T4,Condition 120 144	heart failure congestive
4,T5,Condition 146 183	chronic obstructive pulmonary disease
5,*,OR T4 T5
6,T6,"Scope 120 183	heart failure congestive, chronic obstructive pulmonary disease"
7,R1,Subsumes Arg1:T3 Arg2:T6
8,T7,Condition 201 218	hypovolemic shock
9,T8,Condition 235 256	cervical incompetence
10,T9,Qualifier 273 281	infected
11,T10,Condition 294 302	abortion
12,T11,Condition 282 293	miscarriage
13,*,OR T11 T10
14,T12,Scope 282 302	miscarriage/abortion
15,R2,Has_qualifier Arg1:T12 Arg2:T9
16,T13,Condition 316 321	fever
17,T14,Condition 323 342	pus from the cervix
18,T15,Measurement 344 356	leukocytosis
19,T16,Temporal 358 365	> 14000
20,R3,Has_temporal Arg1:T15 Arg2:T16
21,*,OR T13 T14 T15
22,T17,"Scope 316 366	fever, pus from the cervix, leukocytosis [> 14000]"
23,R4,Has_scope Arg1:T12 Arg2:T17
24,T18,Qualifier 384 388	twin
25,T19,Condition 389 398	pregnancy
26,R5,Has_qualifier Arg1:T19 Arg2:T18
27,T20,Condition 415 430	Marfan syndrome
28,T21,Condition 442 450	allergic
29,T22,Drug 454 465	misoprostol
30,R6,AND Arg1:T21 Arg2:T22
31,T23,Condition 482 494	coagulopathy
32,T24,Observation 511 542	opening of cervical internal os
33,T25,Value 544 562	4 mm of dilatation
34,R7,Has_value Arg1:T24 Arg2:T25
35,T26,Procedure 617 624	surgery
36,T27,Qualifier 632 638	cervix
37,R8,Has_qualifier Arg1:T26 Arg2:T27
38,T28,Procedure 640 650	conization
39,R9,Subsumes Arg1:T26 Arg2:T28
40,T29,Drug 687 691	IUDs
0,T1,Person 0 3	Age
1,T2,Value 4 17	over 18 years
2,R1,Has_value Arg1:T1 Arg2:T2
3,T3,Condition 33 46	rectal cancer
4,T4,Qualifier 47 52	stage
5,T5,Measurement 54 56	cT
6,T6,Measurement 63 65	cN
7,T7,Measurement 70 72	cM
8,T8,Value 56 61	1-2-3
9,T9,Value 65 68	0-1
10,T10,Value 72 73	0
11,R2,Has_value Arg1:T7 Arg2:T10
12,R3,Has_value Arg1:T6 Arg2:T9
13,R4,Has_value Arg1:T5 Arg2:T8
14,*,OR T5 T6 T7
15,T11,"Scope 54 73	cT1-2-3, cN0-1, cM0"
16,R5,Has_scope Arg1:T4 Arg2:T11
17,R6,Has_qualifier Arg1:T3 Arg2:T4
18,T12,Qualifier 82 122	equal or below 10 cm from the anal verge
19,T13,Mood 124 134	candidates
20,T14,Procedure 144 166	low anterior resection
21,T15,Procedure 144 156;171 182	low anterior anastomosis
22,*,OR T15 T14
23,T16,Scope 144 182	low anterior resection and anastomosis
24,R7,Has_mood Arg1:T16 Arg2:T13
25,T17,Temporal 200 212	preoperative
26,T18,Procedure 213 231	chemo-radiotherapy
27,A1,Optional T18
28,R8,Has_temporal Arg1:T18 Arg2:T17
29,T19,Condition 76 81	Tumor
30,R9,Has_qualifier Arg1:T19 Arg2:T12
31,T20,Condition 234 248	Adenocarcinoma
32,T21,Qualifier 252 283	low or moderate differentiation
33,R10,Has_qualifier Arg1:T20 Arg2:T21
34,T22,Measurement 285 288	ASA
35,T23,"Value 289 299	I, II, III"
36,R11,Has_value Arg1:T22 Arg2:T23
0,T1,Value 11 19	65 years
1,T2,Person 20 23	old
2,R1,Has_value Arg1:T2 Arg2:T1
3,T3,Informed_consent 31 75	able and willing to give an informed consent
4,T4,Procedure 106 124	trans-femoral TAVI
5,T5,Temporal 87 97	undergoing
6,T6,Qualifier 98 105	planned
7,R2,Has_qualifier Arg1:T4 Arg2:T6
8,R3,Has_temporal Arg1:T4 Arg2:T5
