,1,2
46,T31,Condition-Name 271 293	inflammatory arthritis
47,T32,Condition-Name 304 324	rheumatoid arthritis
48,T33,Severity 333 339	severe
49,T34,Procedure-Name 384 391	surgery
50,T11,Condition-Name 340 351	instability
51,T35,Modifier 375 383	revision
52,A1,Eq-Operator-Value T27 GT
53,A2,Severity-Value T29 severe
54,A3,Severity-Value T33 severe
55,A4,Observation-Type-Value E9 clinical-score
56,R1,Treatment-For Arg1:E2 Arg2:E4
57,R2,Treatment-For Arg1:E6 Arg2:E7
58,R3,Caused-By Arg1:E7 Arg2:E8
59,R4,Example-Of Arg1:E14 Arg2:E13
60,R5,Or Arg1:E16 Arg2:E18
0,E1,Age:T1 Numeric-Filter:E2
1,E2,Eq-Comparison:T2 Value:T26 Temporal-Unit:T27 Operator:T28
2,E3,Modifier:T3 Modifies:T38
3,E5,Procedure:T5 Name:T39
4,E7,Procedure:T7 Name:T42
5,E8,Procedure:T8 Name:T29
6,E10,Procedure:T10 Name:T30
7,E11,Age:T11 Numeric-Filter:E12
8,E12,Eq-Comparison:T12 Operator:T31 Value:T32 Temporal-Unit:T33
9,E13,Modifier:T13 Modifies:T16
10,E15,Procedure:T15 Name:T43
11,E17,Condition:T17 Name:T16
12,E18,Negation:T18 Negates:E27
13,E19,Procedure:T19 Name:T47
14,E20,Procedure:T20 Name:T34
15,E22,Procedure:T22 Name:T35
16,E23,Eq-Comparison:T23 Temporal-Period:T36
17,E24,Modifier:T24 Modifies:T37
18,E25,Condition:T25 Name:T37 Temporality:E23
19,E6,Condition:T6 Name:T38
20,E26,Condition:T40 Name:T41
21,E16,Negation:T44 Negates:E17
22,E27,Condition:T45 Name:T46
23,T1,Age 25 28	age
24,T2,Eq-Comparison 32 51	18 years or younger
25,T3,Modifier 88 96	clinical
26,T5,Procedure 100 112	radiological
27,T7,Procedure 191 204	imaging study
28,T8,Procedure 213 215	CT
29,T10,Procedure 219 222	MRI
30,T11,Age 258 261	age
31,T12,Eq-Comparison 262 276	above 18 years
32,T13,Modifier 292 300	clinical
33,T15,Procedure 304 316	radiological
34,T17,Condition 328 339	mastoiditis
35,T18,Negation 367 371	Lack
36,T19,Procedure 403 416	imaging study
37,T20,Procedure 425 427	CT
38,T22,Procedure 431 434	MRI
39,T23,Eq-Comparison 441 449	previous
40,T24,Modifier 450 460	unprovoked
41,T25,Condition 461 483	venous thromboembolism
42,T26,Eq-Value 32 34	18
43,T27,Eq-Temporal-Unit 35 40	years
44,T28,Eq-Operator 41 51	or younger
45,T29,Procedure-Name 213 215	CT
46,T30,Procedure-Name 219 222	MRI
47,T31,Eq-Operator 262 267	above
48,T32,Eq-Value 268 270	18
49,T33,Eq-Temporal-Unit 271 276	years
50,T34,Procedure-Name 425 427	CT
51,T35,Procedure-Name 431 434	MRI
52,T36,Eq-Temporal-Period 441 449	previous
53,T37,Condition-Name 461 483	venous thromboembolism
54,T6,Condition 124 135	mastoiditis
55,T38,Condition-Name 124 135	mastoiditis
56,T39,Procedure-Name 100 112	radiological
57,T40,Condition 180 184	CSVT
58,T41,Condition-Name 180 184	CSVT
59,T42,Procedure-Name 191 204	imaging study
60,T16,Condition-Name 328 339	mastoiditis
61,T43,Procedure-Name 304 316	radiological
62,T44,Negation 282 289	lack of
63,T45,Condition 392 396	CSVT
64,T46,Condition-Name 392 396	CSVT
65,T47,Procedure-Name 403 416	imaging study
66,A3,Eq-Temporal-Unit-Value T27 year
67,A4,Eq-Operator-Value T28 LTEQ
68,A5,Eq-Operator-Value T31 GT
69,A6,Eq-Temporal-Unit-Value T33 year
70,A7,Eq-Temporal-Period-Value T36 past
71,R1,Found-By Arg1:E6 Arg2:E5
72,R2,Found-By Arg1:E26 Arg2:E7
73,R3,Equivalent-To Arg1:E8 Arg2:E7
74,R4,Equivalent-To Arg1:E10 Arg2:E7
75,R5,Found-By Arg1:E17 Arg2:E15
76,R6,Found-By Arg1:E27 Arg2:E19
77,R7,Equivalent-To Arg1:E20 Arg2:E19
78,R8,Equivalent-To Arg1:E22 Arg2:E19
79,R9,Or Arg1:E3 Arg2:E5
80,R10,Or Arg1:E8 Arg2:E10
81,R11,Or Arg1:E13 Arg2:E15
82,R12,Or Arg1:E20 Arg2:E22
0,E1,Modifier:T1 Modifies:T7
1,E2,Condition:T2 Name:T7
2,E3,Modifier:T3 Modifies:T8
3,E4,Procedure:T4 Name:T8
4,E5,Eq-Comparison:T5 Operator:T9 Value:T10 Temporal-Unit:T11
5,E6,Age:T6 Numeric-Filter:E5
6,T1,Modifier 25 30	Ankle
7,T2,Condition 31 40	arthritis
8,T3,Modifier 54 61	Cadence
9,T4,Procedure 62 92	Total Ankle Replacement system
10,T5,Eq-Comparison 118 132	Under 18 years
11,T6,Age 136 139	age
12,T7,Condition-Name 31 40	arthritis
13,T8,Procedure-Name 62 92	Total Ankle Replacement system
14,T9,Eq-Operator 118 123	Under
15,T10,Eq-Value 124 126	18
16,T11,Eq-Temporal-Unit 127 132	years
17,A1,Eq-Operator-Value T9 LT
18,A2,Eq-Temporal-Unit-Value T11 year
19,R1,Treatment-For Arg1:E4 Arg2:E2
0,E2,Eq-Comparison:T2 Value:T35 Temporal-Unit:T36 Operator:T37
1,E3,Negation:T3 Negates:E4
2,E4,Assertion:T4 Asserted:E6
3,E5,Negation:T5 Negates:E6
4,E6,Procedure:T6 Name:T38
5,E7,Procedure:T7
6,E8,Condition:T8 Name:T39
7,E9,Other:T9 Is-Other:E10
8,E10,Condition:T10 Name:T40
9,E11,Condition:T11 Name:T41
10,E13,Condition:T13 Name:T42
11,E14,Condition:T14 Name:T45
12,E15,Condition:T15 Name:T46
13,E16,Negation:T16 Negates:E17
14,E17,Assertion:T17 Asserted:E37
15,E19,Negation:T19 Negates:E37
16,E20,Negation:T20 Negates:E21
17,E21,Condition:T21 Name:T47
18,E22,Study:T22
19,E23,Observation:T23 Name:T48
20,E26,Procedure:T26
21,E27,Modifier:T27 Modifies:T62
22,E29,Modifier:T29 Modifies:T62
23,E30,Condition:T30 Name:T50
24,E32,Condition:T32 Name:T63
25,E31,Age:T31 Numeric-Filter:E2
26,E34,Assertion:T52 Asserted:E5
27,E36,Assertion:T54 Asserted:E19
28,E37,Procedure:T55
29,E38,Assertion:T56 Asserted:E20
30,E40,Observation:T58 Name:T49
31,E24,Observation:T24 Name:T60
32,E42,Condition:T61 Name:T62
33,T2,Eq-Comparison 38 62	18 years of age or older
34,T3,Negation 98 101	not
35,T4,Assertion 102 112	willing to
36,T5,Negation 126 132	unable
37,T6,Procedure 140 144	CPAP
38,T7,Procedure 149 158	treatment
39,T8,Condition 162 165	OSA
40,T9,Other 184 189	other
41,T10,Condition 190 205	sleep disorders
42,T11,Condition 211 219	Pregnant
43,T13,Condition 223 236	breastfeeding
44,T14,Condition 257 274	child-bearing age
45,T15,Condition 276 281	WOCBA
46,T16,Negation 283 286	not
47,T17,Assertion 287 294	willing
48,T19,Negation 298 304	unable
49,T20,Negation 334 339	avoid
50,T21,Condition 340 349	pregnancy
51,T22,Study 381 386	study
52,T23,Observation 392 401	Prisoners
53,T26,Procedure 494 503	treatment
54,T27,Modifier 516 527	psychiatric
55,T29,Modifier 531 539	physical
56,T30,Condition 546 564	infectious disease
57,T32,Condition 624 640	language barrier
58,T33,Life-Stage-And-Gender 25 28	Men
59,T34,Life-Stage-And-Gender 32 37	women
60,T35,Eq-Value 38 40	18
61,T36,Eq-Temporal-Unit 41 46	years
62,T37,Eq-Operator 54 62	or older
63,T38,Procedure-Name 140 144	CPAP
64,T39,Condition-Name 162 165	OSA
65,T40,Condition-Name 190 205	sleep disorders
66,T41,Condition-Name 211 219	Pregnant
67,T42,Condition-Name 223 236	breastfeeding
68,T43,Life-Stage-And-Gender 237 242	women
69,T44,Life-Stage-And-Gender 248 253	Women
70,T46,Condition-Name 276 281	WOCBA
71,T47,Condition-Name 340 349	pregnancy
72,T48,Observation-Name 392 401	Prisoners
73,T49,Observation-Name 422 448	involuntarily incarcerated
74,T50,Condition-Name 546 564	infectious disease
75,T31,Age 50 53	age
76,T52,Assertion 126 132	unable
77,T45,Condition-Name 257 274	child-bearing age
78,T54,Assertion 298 304	unable
79,T55,Procedure 324 330	method
80,T56,Assertion 334 339	avoid
81,T58,Observation 422 448	involuntarily incarcerated
82,T24,Observation 471 490	compulsorily detain
83,T60,Observation-Name 471 490	compulsorily detain
84,T61,Condition 566 573	illness
85,T62,Condition-Name 566 573	illness
86,T63,Condition-Name 624 640	language barrier
87,A1,Assertion-Type-Value E4 hypothetical
88,A2,Assertion-Type-Value E17 hypothetical
89,A3,Life-Stage-And-Gender-Type T33 male
90,A4,Life-Stage-And-Gender-Type T34 female
91,A5,Eq-Temporal-Unit-Value T36 year
92,A6,Eq-Operator-Value T37 GTEQ
93,A7,Life-Stage-And-Gender-Type T43 female
94,A8,Life-Stage-And-Gender-Type T44 female
95,A10,Assertion-Type-Value E34 hypothetical
96,A9,Assertion-Type-Value E36 hypothetical
97,A11,Assertion-Type-Value E38 hypothetical
98,R1,Using Arg1:E7 Arg2:E6
99,R2,Treatment-For Arg1:E7 Arg2:E8
100,R3,If-Then Arg1:T43 Arg2:E13
101,R4,Abbrev-Of Arg1:E15 Arg2:E14
102,R5,Caused-By Arg1:E20 Arg2:E37
103,R6,Example-Of Arg1:E30 Arg2:E42
104,R7,Treatment-For Arg1:E26 Arg2:E42
105,R8,Or Arg1:T33 Arg2:T34
106,R9,Or Arg1:E11 Arg2:E13
107,R10,Or Arg1:E17 Arg2:E19
108,R11,Or Arg1:E24 Arg2:E26
109,R12,Or Arg1:E27 Arg2:E29
110,R13,Or Arg1:E4 Arg2:E5
111,R14,And Arg1:T44 Arg2:E14
112,R15,During Arg1:E21 Arg2:E22
113,R16,Or Arg1:E23 Arg2:E40
0,E1,Age:T1 Numeric-Filter:E2
1,E2,Eq-Comparison:T2 Value:T35 Operator:T36 Value:T37 Temporal-Unit:T38
2,E3,Condition:T3 Name:T39
3,E5,Negation:T5 Negates:E6
4,E6,Condition:T6 Name:T40
5,E7,Modifier:T7 Modifies:E11
6,E8,Modifier:T8 Modifies:E11
7,E10,Condition:T10 Name:T41
8,E11,Procedure:T11
9,E12,Drug:T12 Name:T42
10,E14,Drug:T14 Name:T43
11,E15,Drug:T15 Name:T44
12,E16,Negation:T16 Negates:E17
13,E17,Assertion:T17 Asserted:E18
14,E18,Procedure:T18 Name:T45
15,E19,Modifier:T19 Modifies:T47
16,E20,Modifier:T20 Modifies:T47
17,E22,Modifier:T22 Modifies:T47
18,E23,Condition:T23 Name:T47 Severity:T46
19,E25,Condition:T25 Name:T48
20,E26,Condition:T26 Name:T49
21,E28,Condition:T28 Name:T50
22,E29,Eq-Comparison:T29 Temporal-Period:T51
23,E30,Other:T30 Is-Other:E31
24,E31,Drug:T31 Name:T52 Temporality:E29 Temporality2:E32
25,E32,Eq-Comparison:T32 Temporal-Period:T53 Value:T54 Temporal-Unit:T55
26,E33,Negation:T33 Negates:E34
27,E34,Assertion:T34
28,E13,Drug:T13 Name:T56
29,E35,Observation:T57 Name:T58 Numeric-Filter:E36
30,E36,Eq-Comparison:T59 Operator:T60 Value:T61
31,T1,Age 25 28	age
32,T2,Eq-Comparison 29 40	18-70 years
33,T3,Condition 61 64	PNH
34,T5,Negation 69 71	no
35,T6,Condition 72 82	thrombosis
36,T7,Modifier 88 99	ineffective
37,T8,Modifier 101 109	relapsed
38,T10,Condition 113 123	intolerant
39,T11,Procedure 127 149	conventional treatment
40,T12,Drug 154 169	glucocorticoids
41,T14,Drug 181 191	folic acid
42,T15,Drug 193 201	androgen
43,T16,Negation 214 217	not
44,T17,Assertion 218 227	available
45,T18,Procedure 232 271	hematopoietic stem cell transplantation
46,T19,Modifier 354 359	heart
47,T20,Modifier 361 366	liver
48,T22,Modifier 371 377	kidney
49,T23,Condition 378 389	dysfunction
50,T25,Condition 409 433	thrombotic complications
51,T26,Condition 454 462	pregnant
52,T28,Condition 467 480	breastfeeding
53,T29,Eq-Comparison 486 493	history
54,T30,Other 497 502	other
55,T31,Drug 503 527	immunosuppressive agents
56,T32,Eq-Comparison 531 546	recent 3 months
57,T33,Negation 569 572	not
58,T34,Assertion 573 581	eligible
59,T35,Eq-Value 29 31	18
60,T36,Eq-Operator 31 32	-
61,T37,Eq-Value 32 34	70
62,T38,Eq-Temporal-Unit 35 40	years
63,T39,Condition-Name 61 64	PNH
64,T40,Condition-Name 72 82	thrombosis
65,T42,Drug-Name 154 169	glucocorticoids
66,T43,Drug-Name 181 191	folic acid
67,T44,Drug-Name 193 201	androgen
68,T45,Procedure-Name 232 271	hematopoietic stem cell transplantation
69,T46,Severity 347 353	severe
70,T47,Condition-Name 378 389	dysfunction
71,T48,Condition-Name 409 433	thrombotic complications
72,T49,Condition-Name 454 462	pregnant
73,T50,Condition-Name 467 480	breastfeeding
74,T51,Eq-Temporal-Period 486 493	history
75,T52,Drug-Name 503 527	immunosuppressive agents
76,T53,Eq-Temporal-Period 531 537	recent
77,T54,Eq-Value 538 539	3
78,T55,Eq-Temporal-Unit 540 546	months
79,T41,Condition-Name 113 123	intolerant
80,T13,Drug 175 179	iron
81,T56,Drug-Name 175 179	iron
82,T57,Observation 277 281	ECOG
83,T58,Observation-Name 277 281	ECOG
84,T59,Eq-Comparison 281 283	≤2
85,T60,Eq-Operator 281 282	≤
86,T61,Eq-Value 282 283	2
87,A1,Assertion-Type-Value E17 hypothetical
88,A2,Assertion-Type-Value E34 hypothetical
89,A3,Eq-Operator-Value T36 BETWEEN
90,A4,Eq-Temporal-Unit-Value T38 year
91,A5,Severity-Value T46 severe
92,A6,Eq-Temporal-Period-Value T51 past
93,A7,Eq-Temporal-Period-Value T53 recent
94,A8,Eq-Temporal-Unit-Value T55 month
95,A9,Eq-Operator-Value T60 LTEQ
96,R1,Caused-By Arg1:E10 Arg2:E11
97,R2,Example-Of Arg1:E12 Arg2:E11
98,R3,Example-Of Arg1:E13 Arg2:E11
99,R4,Example-Of Arg1:E14 Arg2:E11
100,R5,Example-Of Arg1:E15 Arg2:E11
101,R6,And Arg1:E3 Arg2:E5
102,R7,Or Arg1:E8 Arg2:E10
103,R8,Or Arg1:E20 Arg2:E22
104,R9,Or Arg1:E26 Arg2:E28
105,R10,Or Arg1:E7 Arg2:E8
106,R11,Or Arg1:E14 Arg2:E15
107,R12,Or Arg1:E19 Arg2:E20
108,R13,Or Arg1:E13 Arg2:E14
0,E1,Eq-Comparison:T1 Operator:T24 Value:T25 Temporal-Unit:T26
1,E2,Age:T2 Numeric-Filter:E1
2,E3,Condition:T3 Name:T28
3,E4,Procedure:T4
4,E5,Drug:T5 Name:T29
5,E7,Drug:T7 Name:T30
6,E8,Procedure:T8 Name:T31
7,E9,Condition:T9 Name:T32
8,E10,Modifier:T10 Modifies:T33
9,E11,Condition:T11 Name:T33
10,E12,Observation:T12 Name:T34
11,E13,Observation:T13 Name:T35 Numeric-Filter:E14
12,E14,Eq-Comparison:T14 Unit:T36 Value:T37
13,E15,Condition:T15 Name:T38
14,E18,Procedure:T18 Name:T40
15,E19,Procedure:T19 Name:T41 Temporality:E20
16,E20,Eq-Comparison:T20 Temporal-Period:T42 Value:T43 Temporal-Unit:T44
17,E21,Encounter:T21 Temporality:E23
18,E22,Condition:T22 Name:T46
19,E23,Eq-Comparison:T23 Temporal-Period:T47 Value:T48 Temporal-Unit:T49
20,T1,Eq-Comparison 25 35	≥ 20 years
21,T2,Age 39 42	age
22,T3,Condition 100 102	AF
23,T4,Procedure 108 115	treated
24,T5,Drug 121 129	warfarin
25,T7,Drug 133 138	NOACs
26,T8,Procedure 143 158	anticoagulation
27,T9,Condition 200 222	psychological diseases
28,T10,Modifier 243 255	uncontrolled
29,T11,Condition 256 268	hypertension
30,T12,Observation 293 319	New York Heart Association
31,T13,Observation 321 325	NYHA
32,T14,Eq-Comparison 327 335	grade VI
33,T15,Condition 336 349	heart failure
34,T18,Procedure 372 389	cardiac pacemaker
35,T19,Procedure 401 416	cardiac surgery
36,T20,Eq-Comparison 424 441	past three months
37,T21,Encounter 447 459	hospitalized
38,T22,Condition 464 466	AF
39,T23,Eq-Comparison 474 491	past three months
40,T24,Eq-Operator 25 26	≥
41,T25,Eq-Value 27 29	20
42,T26,Eq-Temporal-Unit 30 35	years
43,T27,Language 58 66	Mandarin
44,T28,Condition-Name 100 102	AF
45,T29,Drug-Name 121 129	warfarin
46,T30,Drug-Name 133 138	NOACs
47,T31,Procedure-Name 143 158	anticoagulation
48,T32,Condition-Name 200 222	psychological diseases
49,T33,Condition-Name 256 268	hypertension
50,T34,Observation-Name 293 319	New York Heart Association
51,T35,Observation-Name 321 325	NYHA
52,T36,Eq-Unit 327 332	grade
53,T37,Eq-Value 333 335	VI
54,T38,Condition-Name 336 349	heart failure
55,T40,Procedure-Name 372 389	cardiac pacemaker
56,T41,Procedure-Name 401 416	cardiac surgery
57,T42,Eq-Temporal-Period 424 428	past
58,T43,Eq-Value 429 434	three
59,T44,Eq-Temporal-Unit 435 441	months
60,T46,Condition-Name 464 466	AF
61,T47,Eq-Temporal-Period 474 478	past
62,T48,Eq-Value 479 484	three
63,T49,Eq-Temporal-Unit 485 491	months
64,T50,Language 70 79	Taiwanese
65,A1,Eq-Operator-Value T24 GTEQ
66,A2,Eq-Temporal-Unit-Value T26 year
67,A3,Eq-Temporal-Period-Value T42 past
68,A4,Eq-Temporal-Unit-Value T44 month
69,A5,Encounter-Type-Value E21 inpatient
70,A6,Eq-Temporal-Period-Value T47 past
71,A7,Eq-Temporal-Unit-Value T49 month
72,A8,Observation-Type-Value E12 clinical-score
73,A9,Observation-Type-Value E13 clinical-score
74,R1,Using Arg1:E4 Arg2:E5
75,R2,Using Arg1:E4 Arg2:E8
76,R3,Using Arg1:E4 Arg2:E7
77,R4,Abbrev-Of Arg1:E13 Arg2:E12
78,R5,Treatment-For Arg1:E21 Arg2:E22
79,R6,Or Arg1:E5 Arg2:E7
80,R7,Or Arg1:T27 Arg2:T50
0,E1,Eq-Comparison:T1 Value:T10 Operator:T11
1,E2,Condition:T2 Name:T12 Minimum-Count:E1
2,E6,Modifier:T6 Modifies:T15
3,E7,Procedure:T7 Name:T15
4,E8,Negation:T8 Negates:E9
5,E9,Condition:T9 Name:T13
6,E4,Procedure:T4 Name:T5
7,E5,Modifier:T14 Modifies:T5
8,T1,Eq-Comparison 39 50	one or more
9,T2,Condition 61 76	hip dislocation
10,T6,Modifier 118 125	primary
11,T7,Procedure 126 129	THA
12,T8,Negation 130 137	without
13,T9,Condition 148 163	hip dislocation
14,T10,Eq-Value 39 42	one
15,T11,Eq-Operator 43 50	or more
16,T12,Condition-Name 61 76	hip dislocation
17,T13,Condition-Name 148 163	hip dislocation
18,T4,Procedure 93 96	THA
19,T5,Procedure-Name 93 96	THA
20,T14,Modifier 85 92	primary
21,T15,Procedure-Name 126 129	THA
22,A2,Eq-Operator-Value T11 GTEQ
23,R1,After Arg1:E2 Arg2:E4
0,E3,Eq-Comparison:T3 Value:T14 Temporal-Unit:T15
1,E4,Eq-Comparison:T4 Operator:T16 Value:T17 Temporal-Unit:T18
2,E6,Negation:T6 Negates:T20 Negates2:T5
3,E7,Condition:T7 Name:T12 Acuteness:T13
4,E8,Assertion:T8 Asserted:E9
5,E9,Encounter:T9
6,E1,Age:T1 Numeric-Filter:E3
7,E2,Age:T2 Numeric-Filter:E4
8,T3,Eq-Comparison 419 432	were 18 years
9,T4,Eq-Comparison 471 489	less than 18 years
10,T6,Negation 590 593	not
11,T7,Condition 730 736	unwell
12,T8,Assertion 737 746	requiring
13,T9,Encounter 756 765	admission
14,T10,Location 101 130	cardiology outpatient clinics
15,T14,Eq-Value 424 426	18
16,T15,Eq-Temporal-Unit 427 432	years
17,T16,Eq-Operator 471 480	less than
18,T17,Eq-Value 481 483	18
19,T18,Eq-Temporal-Unit 484 489	years
20,T20,Location 621 650	cardiology outpatient clinics
21,T21,Location 747 755	hospital
22,T11,Location 211 239	cardiology outpatient clinic
23,T1,Age 433 436	old
24,T2,Age 490 493	old
25,T5,Location 654 692	Eric Williams Medical Sciences Complex
26,T12,Condition-Name 730 736	unwell
27,T13,Acuteness 722 729	acutely
28,A2,Assertion-Type-Value E8 hypothetical
29,A3,Location-Value T10 clinic
30,A7,Eq-Temporal-Unit-Value T15 year
31,A8,Eq-Operator-Value T16 LT
32,A9,Eq-Temporal-Unit-Value T18 year
33,A11,Location-Value T20 clinic
34,A12,Location-Value T21 hospital
35,A4,Location-Value T11 clinic
36,A1,Location-Value T5 hospital
37,A5,Acuteness-Type-Value T13 acute
38,R1,Treatment-For Arg1:E9 Arg2:E7
39,A6,Encounter-Type-Value E9 inpatient
0,E1,Encounter:T1 Provider:E2 Provider2:E3 Provider3:E4 Provider4:E5 Provider5:E6
1,E10,Condition:T10 Name:T56
2,E11,Observation:T11 Name:T57 Minimum-Count:E15 Numeric-Filter:E9
3,E15,Eq-Comparison:T15 Operator:T59 Value:T60 Temporal-Unit:T61
4,E18,Eq-Comparison:T18 Value:T63 Unit:T64 Operator:T62
5,E20,Eq-Comparison:T20 Value:T66 Unit:T67 Operator:T102
6,E25,Procedure:T25
7,E26,Drug:T26 Name:T73 Temporality:E55 Duration:E27
8,E27,Eq-Comparison:T27 Operator:T74 Value:T75 Temporal-Unit:T76
9,E28,Age:T28 Numeric-Filter:E29
10,E29,Eq-Comparison:T29 Operator:T77 Value:T78 Temporal-Unit:T79
11,E30,Negation:T30 Negates:E31
12,E31,Condition:T31 Name:T80
13,E32,Eq-Comparison:T32 Temporal-Period:T81
14,E33,Drug:T33 Name:T82 Temporality:E32
15,E34,Assertion:T34 Asserted:E35
16,E35,Condition:T35 Name:T83
17,E36,Condition:T36 Name:T84
18,E37,Condition:T37 Name:T85
19,E40,Condition:T40 Name:T87
20,E41,Condition:T41 Name:T89 Severity:T88
21,E42,Condition:T42 Name:T90 Stage:E39
22,E44,Condition:T44 Name:T91 Stage:E43
23,E45,Procedure:T45 Name:T92
24,E47,Procedure:T47 Name:T93
25,E48,Condition:T48 Name:T94
26,E50,Negation:T50 Negates:E51
27,E51,Observation:T51 Name:T107
28,E52,Study:T52 Temporality:E58
29,E54,Study:T54
30,E2,Provider:T2
31,E3,Provider:T4
32,E4,Provider:T6
33,E5,Provider:T9
34,E6,Provider:T96
35,E8,Provider:T98
36,E9,Eq-Comparison:T14 Operator:T17 Unit:T58
37,E14,Observation:T65 Name:T100 Numeric-Filter:E18
38,E17,Observation:T68 Name:T101 Numeric-Filter:E20
39,E21,Observation:T21 Name:T69 Polarity:T70
40,E55,Eq-Comparison:T71 Temporal-Period:T72
41,E56,Modifier:T103 Modifies:T84
42,E38,Condition:T38
43,E39,Eq-Comparison:T39 Value:T86 Unit:T104
44,E43,Eq-Comparison:T43 Value:T106 Unit:T105
45,E57,Assertion:T108 Asserted:E50
46,E58,Eq-Comparison:T109 Temporal-Period:T110
47,T1,Encounter 25 36	Outpatients
48,T10,Condition 166 178	hypertension
49,T11,Observation 214 216	BP
50,T15,Eq-Comparison 250 267	at least one time
51,T18,Eq-Comparison 316 325	≥140 mmHg
52,T20,Eq-Comparison 337 345	≥90 mmHg
53,T23,Encounter 396 401	visit
54,T25,Procedure 443 452	treatment
55,T26,Drug 458 480	antihypertensive drugs
56,T27,Eq-Comparison 481 490	≥ 2 weeks
57,T28,Age 556 560	aged
58,T29,Eq-Comparison 560 570	< 18 years
59,T30,Negation 590 597	without
60,T31,Condition 622 634	hypertension
61,T32,Eq-Comparison 673 679	taking
62,T33,Drug 680 702	antihypertensive drugs
63,T34,Assertion 722 734	difficult to
64,T35,Condition 760 772	hypertension
65,T36,Condition 828 840	hypertension
66,T37,Condition 870 882	dyslipidemia
67,T40,Condition 909 927	nephrotic syndrome
68,T41,Condition 936 950	hypothyroidism
69,T42,Condition 970 980	malignancy
70,T44,Condition 1025 1038	renal disease
71,T45,Procedure 1040 1052	hemodialysis
72,T47,Procedure 1058 1077	peritoneal dialysis
73,T48,Condition 1117 1137	mental abnormalities
74,T50,Negation 1146 1152	unable
75,T51,Observation 1169 1182	questionnaire
76,T52,Study 1229 1237	research
77,T54,Study 1250 1255	study
78,T56,Condition-Name 166 178	hypertension
79,T57,Observation-Name 214 216	BP
80,T59,Eq-Operator 250 258	at least
81,T60,Eq-Value 259 262	one
82,T61,Eq-Temporal-Unit 263 267	time
83,T63,Eq-Value 317 320	140
84,T64,Eq-Unit 321 325	mmHg
85,T66,Eq-Value 338 340	90
86,T67,Eq-Unit 341 345	mmHg
87,T70,Polarity 372 378	normal
88,T72,Eq-Temporal-Period 433 438	given
89,T73,Drug-Name 458 480	antihypertensive drugs
90,T74,Eq-Operator 481 482	≥
91,T75,Eq-Value 483 484	2
92,T76,Eq-Temporal-Unit 485 490	weeks
93,T77,Eq-Operator 560 561	<
94,T78,Eq-Value 562 564	18
95,T79,Eq-Temporal-Unit 565 570	years
96,T80,Condition-Name 622 634	hypertension
97,T81,Eq-Temporal-Period 673 679	taking
98,T82,Drug-Name 680 702	antihypertensive drugs
99,T83,Condition-Name 760 772	hypertension
100,T84,Condition-Name 828 840	hypertension
101,T85,Condition-Name 870 882	dyslipidemia
102,T87,Condition-Name 909 927	nephrotic syndrome
103,T88,Severity 929 935	severe
104,T89,Condition-Name 936 950	hypothyroidism
105,T90,Condition-Name 970 980	malignancy
106,T91,Condition-Name 1025 1038	renal disease
107,T92,Procedure-Name 1040 1052	hemodialysis
108,T93,Procedure-Name 1058 1077	peritoneal dialysis
109,T94,Condition-Name 1117 1137	mental abnormalities
110,T2,Provider 57 67	Cardiology
111,T4,Provider 69 82	Endocrinology
112,T6,Provider 84 94	Nephrology
113,T9,Provider 96 105	Neurology
114,T96,Provider 107 117	Geriatrics
115,T98,Provider 121 146	General Internal Medicine
